endereco,preco,area,quartos,banheiros,garagens
"Avenida Palmas, Setor Bela Vista Taquaralto",190000,90,2,2,0
"ARSO 33 Rua 3, Plano Diretor Sul",750000,116,3,3,3
"ARSE 22 Alameda 4, Plano Diretor Sul",850000,220,3,3,2
"Plano Diretor Sul, Palmas",450000,135,3,2,5
"Plano Diretor Sul, Palmas",455000,132,3,2,3
"ARSO 42 Alameda 10, Plano Diretor Sul",720000,167,3,3,2
"Jardim Aureny III, Palmas",195000,65,2,1,2
"Rua Jequitibá, Setor Morada do Sol Taquaralto",190000,66,2,2,1
"ARSO 41 Alameda 25, Plano Diretor Sul",630000,163,3,5,2
"Plano Diretor Sul, Palmas",530000,225,4,4,2
"ACNO 1 Avenida LO 2, Plano Diretor Norte",450000,160,3,3,2
"Plano Diretor Sul, Palmas",250000,130,4,2,3
"ARSO 53 Alameda 9, Plano Diretor Sul",695000,126,3,3,3
"Loteamento Bertaville, Palmas",500000,150,3,2,2
"Avenida Palmas, Setor Sul Taquaralto",190000,90,2,2,1
"Plano Diretor Sul, Palmas",629000,249,3,4,2
"Quadra ARSE 141 Alameda 6, Plano Diretor Sul",350000,96,3,2,2
"Plano Diretor Sul, Palmas",1000000,900,6,9,6
"Loteamento Palmas Sul, Palmas",240000,10,2,1,0
"Plano Diretor Sul, Palmas",290000,59,2,2,1
"Quadra ARSO 111 Alameda 24, Plano Diretor Sul",400000,102,3,2,2
"ARSO 22 Avenida LO 5, Plano Diretor Sul",580000,138,3,2,2
"ARSO 54 Alameda 8, Plano Diretor Sul",680000,163,3,3,2
"ARSO 53 Alameda 29, Plano Diretor Sul",1250000,210,3,3,2
"ARNE 13 Alameda 2, Centro",420000,117,3,2,2
"Avenida Palmas, Setor Bela Vista Taquaralto",190000,90,2,2,0
"Plano Diretor Sul, Palmas",1400000,212,3,5,0
"Plano Diretor Sul, Palmas",450000,160,3,2,4
"Plano Diretor Sul, Palmas",590000,132,3,1,2
"Rua 21, Jardim Aureny III",185000,73,2,2,1
"Quadra ARSE 41 Alameda 13, Plano Diretor Sul",1900000,303,4,6,3
"Plano Diretor Norte, Palmas",550000,249,4,4,2
"Plano Diretor Sul, Palmas",615000,109,3,1,3
"Plano Diretor Sul, Palmas",300000,98,3,2,2
"Plano Diretor Sul, Palmas",600000,125,3,3,2
"Quadra ARSO 52 Alameda 37, Plano Diretor Sul",680000,158,3,3,2
"Plano Diretor Sul, Palmas",600000,125,3,2,0
"Quadra ARSE 82 Alameda 2, Plano Diretor Sul",350000,164,4,3,2
"Plano Diretor Sul, Palmas",340000,89,3,2,2
"Quadra ARSO 52 Alameda 38, Plano Diretor Sul",549320,110,3,2,2
"Plano Diretor Sul, Palmas",590000,140,3,3,0
"Plano Diretor Sul, Palmas",340000,90,3,2,2
"Plano Diretor Sul, Palmas",360000,92,3,2,3
"ARSE 14 Alameda 5, Plano Diretor Sul",400000,108,3,4,2
"Plano Diretor Sul, Palmas",250000,127,3,2,3
"Plano Diretor Sul, Palmas",400000,102,3,1,2
"Plano Diretor Sul, Palmas",325000,130,3,2,1
"Quadra ARSO 101 Alameda 18, Plano Diretor Sul",600000,387,3,2,4
"Rua Leonor Alice Alves de Oliveira, Loteamento Lago Sul Taquaralto",180000,72,2,2,1
"ARSO 43 Alameda 3, Plano Diretor Sul",625000,150,3,2,2
"Plano Diretor Sul, Palmas",360000,120,3,2,2
"Loteamento Bertaville, Palmas",500000,150,3,2,2
"Plano Diretor Sul, Palmas",800000,250,3,4,4
"Quadra ARSO 52 Alameda 15, Plano Diretor Sul",530000,103,3,2,0
"Plano Diretor Sul, Palmas",270000,80,2,2,2
"Quadra ARNO 71 Alameda 1, Plano Diretor Norte",280000,130,3,2,3
"Avenida Palmas, Setor Sul Taquaralto",198000,87,1,2,2
"Plano Diretor Sul, Palmas",420000,10,3,3,0
"Plano Diretor Sul, Palmas",460000,250,4,4,2
"Plano Diretor Sul, Palmas",530000,130,3,1,2
"Rua 11, Centro Taquaralto",200000,80,2,2,2
"Plano Diretor Sul, Palmas",280000,73,2,2,2
"Jardim Aureny III, Palmas",155000,80,2,2,2
"ARSE 122 Alameda 26, Plano Diretor Sul",235000,83,2,2,2
"ARSO 42 Alameda 13, Plano Diretor Sul",290000,66,2,2,1
"Plano Diretor Sul, Palmas",340000,89,3,2,2
"Plano Diretor Sul, Palmas",290000,130,3,2,2
"Quadra ARSO 52 Alameda 38, Plano Diretor Sul",990000,170,3,3,2
"Plano Diretor Sul, Palmas",450000,173,4,3,4
"Plano Diretor Sul, Palmas",550000,249,4,4,2
"Plano Diretor Sul, Palmas",460000,132,3,3,3
"Quadra ARSE 141 Alameda 6, Plano Diretor Sul",350000,96,3,2,2
"Quadra ARNE 64 Alameda 2, Plano Diretor Norte",315000,115,3,1,3
"Plano Diretor Sul, Palmas",1980000,240,4,5,3
"ARNE 12 Alameda 3, Plano Diretor Norte",1200000,196,3,5,4
"Plano Diretor Norte, Palmas",630000,278,3,4,3
"Plano Diretor Sul, Palmas",270000,66,2,2,3
"Quadra ARSE 111 Alameda 12, Plano Diretor Sul",799900,250,3,3,2
"Plano Diretor Sul, Palmas",640000,150,3,3,0
"Plano Diretor Norte, Palmas",850000,334,4,5,4
"Avenida Palmas, Setor Bela Vista Taquaralto",190000,90,2,2,1
"Quadra ARSO 151 QI 35, Plano Diretor Sul",340000,89,3,2,2
"Quadra ARSE 92 Alameda 19, Plano Diretor Sul",350000,362,3,2,0
"ARSO 42 Alameda 15, Plano Diretor Sul",590000,130,3,2,0
"ARSO 34 Avenida A, Plano Diretor Sul",650000,150,3,2,2
"Jardim Aureny III, Palmas",320000,320,5,1,3
"Plano Diretor Sul, Palmas",280000,68,2,2,2
"Plano Diretor Sul, Palmas",430000,157,3,3,4
"Quadra ACSU SO 140 Avenida NS 1, Plano Diretor Sul",270000,70,2,2,2
"Avenida Palmas, Setor Bela Vista Taquaralto",190000,90,2,2,0
"Quadra ARSO 52 Alameda 20, Plano Diretor Sul",799900,167,2,1,3
"Quadra ARSO 52 Alameda 38, Plano Diretor Sul",920000,190,3,4,4
"Plano Diretor Sul, Palmas",280000,98,2,1,4
"Plano Diretor Sul, Palmas",430000,160,3,3,3
"Plano Diretor Sul, Palmas",650000,195,3,2,3
"Plano Diretor Sul, Palmas",580000,140,3,2,4
"ARSO 22 Alameda 16, Plano Diretor Sul",390000,110,3,2,2
"Plano Diretor Sul, Palmas",580000,140,3,2,4
"Plano Diretor Norte, Palmas",420000,300,2,2,2
"Plano Diretor Sul, Palmas",450000,265,3,3,2
"Quadra ARNE 71 Alameda 4, Plano Diretor Norte",262000,64,2,2,2
"Plano Diretor Sul, Palmas",450000,120,3,2,2
"ARSO 54 Alameda 8, Plano Diretor Sul",649000,239,3,2,2
"Plano Diretor Sul, Palmas",530000,108,3,1,2
"Plano Diretor Sul, Palmas",450000,160,3,4,2
"Plano Diretor Norte, Palmas",450000,300,3,3,2
"Plano Diretor Sul, Palmas",639000,138,3,2,4
"Plano Diretor Sul, Palmas",380000,100,3,1,0
"Plano Diretor Sul, Palmas",540000,180,3,1,2
"Rua Allan Sampaio, Loteamento Bertaville",230000,70,2,2,2
"Plano Diretor Sul, Palmas",490000,115,3,2,2
"Plano Diretor Sul, Palmas",415000,180,3,3,2
"Plano Diretor Sul, Palmas",260000,132,3,1,2
"Quadra ARSE 111 Alameda 12, Plano Diretor Sul",707000,150,3,3,2
"Rua NC 1, Setor Bela Vista Taquaralto",385000,150,3,2,3
"Plano Diretor Norte, Palmas",559000,130,3,3,0
"ARSE 13 Alameda 6, Plano Diretor Sul",695000,220,3,4,4
"Setor Bela Vista Taquaralto, Palmas",198000,82,2,2,2
"Plano Diretor Sul, Palmas",920000,117,3,2,2
"Plano Diretor Sul, Palmas",570000,130,3,2,0
"ARSO 43 Alameda 5, Plano Diretor Sul",630000,135,3,2,2
"Quadra ALC-SO 141 - Mirante do Lago Avenida NS 15, Plano Diretor Sul",1800000,210,3,4,4
"Rua Copaíba, Setor Morada do Sol Taquaralto",160000,73,2,2,1
"Plano Diretor Sul, Palmas",420000,131,3,2,3
"ARSO 43 Alameda 10, Plano Diretor Sul",695000,154,3,3,2
"Plano Diretor Norte, Palmas",450000,142,3,2,4
"Plano Diretor Norte, Palmas",280000,138,2,1,1
"Plano Diretor Sul, Palmas",680000,163,3,4,2
"Plano Diretor Sul, Palmas",450000,265,3,3,2
"ARSO 54 Alameda 23, Plano Diretor Sul",600000,132,3,3,2
"Quadra ARSE 71 Alameda 12, Plano Diretor Sul",450000,160,3,2,3
"Plano Diretor Sul, Palmas",1200000,200,3,3,4
"Plano Diretor Sul, Palmas",695000,145,3,4,2
"Plano Diretor Norte, Palmas",200000,74,2,2,1
"Plano Diretor Sul, Palmas",450000,100,3,2,3
"Plano Diretor Sul, Palmas",350000,100,3,2,2
"Plano Diretor Sul, Palmas",350000,94,2,3,2
"Plano Diretor Sul, Palmas",420000,90,3,3,2
"Plano Diretor Sul, Palmas",330000,90,3,2,2
"Plano Diretor Sul, Palmas",450000,120,3,2,2
"Plano Diretor Norte, Palmas",630000,147,3,3,4
"Plano Diretor Sul, Palmas",650000,156,3,3,4
"Plano Diretor Sul, Palmas",395000,225,3,2,3
"Plano Diretor Sul, Palmas",650000,155,3,3,3
